iter	MultiClass
165	1.175432163
166	1.173968913
167	1.172583962
168	1.171097581
169	1.169425634
170	1.168065559
171	1.167303023
172	1.165831679
173	1.164569086
174	1.163511459
175	1.161828104
176	1.160818154
177	1.15946881
178	1.158539404
179	1.157323898
180	1.156163054
181	1.155049335
182	1.154115115
183	1.153094211
184	1.151698154
185	1.150499038
186	1.149520132
187	1.148528092
188	1.147326711
189	1.145971903
190	1.144352996
191	1.143275563
192	1.142388893
193	1.141582981
194	1.140546429
195	1.139974306
196	1.139233287
197	1.137881356
198	1.137190887
199	1.136097977
200	1.135216577
201	1.133941358
202	1.133164458
203	1.132100419
204	1.130822906
205	1.129618046
206	1.128866824
207	1.128179056
208	1.127247738
209	1.126231245
210	1.125470447
211	1.124325042
212	1.123426043
213	1.122907104
214	1.122219798
215	1.121322152
216	1.120438975
217	1.119290945
218	1.118530012
219	1.117571716
220	1.116588312
221	1.115774905
222	1.114755061
223	1.114021397
224	1.113244606
225	1.112488749
226	1.111317777
227	1.110800552
228	1.109798507
229	1.108650925
230	1.107508649
231	1.106358119
232	1.105548812
233	1.104824749
234	1.103829735
235	1.103093619
236	1.102325655
237	1.101184966
238	1.100726358
239	1.09994181
240	1.098911849
241	1.098197661
242	1.097283874
243	1.096374749
244	1.09545001
245	1.094420675
246	1.093591514
247	1.092965064
248	1.092064534
249	1.091573944
250	1.090481474
251	1.089432729
252	1.08845899
253	1.087425609
254	1.086404622
255	1.08579943
256	1.085038832
257	1.083735816
258	1.082666553
259	1.081644171
260	1.080931172
261	1.080271733
262	1.079419485
263	1.078886663
264	1.07819929
265	1.077722999
266	1.077061818
267	1.076405316
268	1.075532544
269	1.07471212
270	1.074206713
271	1.073383016
272	1.072821022
273	1.072081119
274	1.071371025
275	1.07084135
276	1.069787514
277	1.068816103
278	1.068001522
279	1.067400305
280	1.066567098
281	1.065940562
282	1.065051574
283	1.064378282
284	1.063498659
285	1.062907927
286	1.062275422
287	1.061573606
288	1.060835131
289	1.060200119
290	1.059363911
291	1.058823837
292	1.058284368
293	1.057762365
294	1.056837408
295	1.055740698
296	1.054956886
297	1.054182005
298	1.053302859
299	1.052701236
300	1.052007716
301	1.051316665
302	1.05066096
303	1.05011031
304	1.049482195
305	1.048764011
306	1.048267689
307	1.047748266
308	1.047072577
309	1.046368902
310	1.045639075
311	1.044771775
312	1.044113501
313	1.043664521
314	1.043178806
315	1.04269783
316	1.042205154
317	1.041529827
318	1.040945314
319	1.04034554
320	1.039794779
321	1.039126911
322	1.038586171
323	1.038054783
324	1.037559173
325	1.037037693
326	1.036547839
327	1.03596352
328	1.035434645
329	1.034787016
330	1.03403556
331	1.033312571
332	1.032747638
333	1.032163526
334	1.031479531
335	1.031098407
336	1.030415233
337	1.030058497
338	1.029381379
339	1.028953773
340	1.02843214
341	1.028061528
342	1.027358515
343	1.026626601
344	1.02594995
345	1.025487016
346	1.024841956
347	1.024093592
348	1.023391743
349	1.022808833
350	1.022391819
351	1.022001841
352	1.021440098
353	1.020996152
354	1.020288876
355	1.019641416
356	1.019189404
357	1.018819643
358	1.018373277
359	1.017788256
360	1.017340294
361	1.01692137
362	1.016200315
363	1.015659521
364	1.015031686
365	1.014642027
366	1.014377841
367	1.014220567
368	1.013835094
369	1.01339873
370	1.012812246
371	1.012308305
372	1.011936429
373	1.01161736
374	1.011057632
375	1.010507451
376	1.010103661
377	1.009762761
378	1.009131283
379	1.008750391
380	1.008113958
381	1.007269465
382	1.006606164
383	1.006245189
384	1.005726912
385	1.005290377
386	1.004924771
387	1.004403339
388	1.004188255
389	1.003818635
390	1.003423795
391	1.002849619
392	1.002289192
393	1.002013798
394	1.001364584
395	1.001002379
396	1.000448945
397	0.9999476546
398	0.9992147762
399	0.998718616
400	0.9985328459
401	0.9977742341
402	0.9971428175
403	0.9968135116
404	0.9964713078
405	0.9958665842
406	0.9954314298
407	0.994989975
408	0.9944913631
409	0.9941457883
410	0.9938661634
411	0.9936094145
412	0.9932517737
413	0.9929094847
414	0.9923743067
415	0.9918256759
416	0.9914377043
417	0.9909389376
418	0.990474454
419	0.9900062642
420	0.9895265198
421	0.9890647944
422	0.9888847803
423	0.9884368284
424	0.988019653
425	0.9876188676
426	0.9869693883
427	0.9866603918
428	0.9859620326
429	0.9855141249
430	0.9850285919
431	0.9845201135
432	0.9842130504
433	0.9839337915
434	0.9834641662
435	0.983013104
436	0.9824697319
437	0.9821186377
438	0.9817070582
439	0.9812519636
440	0.9809212983
441	0.9804985393
442	0.9800841106
443	0.9794946876
444	0.979193576
445	0.9786390897
446	0.9783899404
447	0.9781339434
448	0.9776129408
449	0.9772912375
450	0.9769210482
451	0.9762535008
452	0.9758860685
453	0.975525233
454	0.9752494085
455	0.9746788175
456	0.9742724032
457	0.9737867725
458	0.9734406473
459	0.9730505291
460	0.9725916805
461	0.9724604213
462	0.9722058026
463	0.971538766
464	0.9713226351
465	0.9707972045
466	0.9703848788
467	0.9698322612
468	0.9694090824
469	0.9691470969
470	0.9688385567
471	0.9684167735
472	0.9680793964
473	0.9677570901
474	0.967218899
475	0.9669366676
476	0.9666217686
477	0.966390508
478	0.9660700738
479	0.9656225537
480	0.9652502129
481	0.9649182622
482	0.9645310025
483	0.9641602431
484	0.9637448485
485	0.9632470841
486	0.9629045887
487	0.9624878733
488	0.9621853863
489	0.9618624011
490	0.9614148848
491	0.9610019995
492	0.9606501473
493	0.9604578987
494	0.9599071917
495	0.9595778976
496	0.9593368403
497	0.9589079858
498	0.9586626669
499	0.9583763794
500	0.9580504967
501	0.9577495589
502	0.9573381959
503	0.9569853536
504	0.9565307249
505	0.9562009739
506	0.9556726789
507	0.9554762673
508	0.954998941
509	0.9548205287
510	0.9544554986
511	0.9541004655
512	0.9538584787
513	0.9532554504
514	0.952877607
515	0.9525190172
516	0.9521204829
517	0.9516945137
518	0.9513424759
519	0.9509290205
520	0.950600904
521	0.9500445884
522	0.9495962718
523	0.9493296065
524	0.9489778544
525	0.9486523614
526	0.948488351
527	0.948303098
528	0.9479214564
529	0.9473797043
530	0.9469266915
531	0.9467222885
532	0.9464377329
533	0.9460368827
534	0.9457240789
535	0.9453115484
536	0.9449606715
537	0.9445142121
538	0.9442721366
539	0.9437247193
540	0.9435198482
541	0.9432516279
542	0.9429337421
543	0.9425377321
544	0.9421260812
545	0.9418578858
546	0.9413711125
547	0.9410653339
548	0.9408636622
549	0.9404309281
550	0.9401021815
551	0.9396405427
552	0.9393917045
553	0.9390637071
554	0.9388897795
555	0.9385998503
556	0.9382617424
557	0.9380956701
558	0.9377500715
559	0.9374702344
560	0.9371018661
561	0.9369069851
562	0.9365451555
563	0.9362419782
564	0.9358478019
565	0.9356018614
566	0.9352684799
567	0.9350465659
568	0.9347779209
569	0.9344676569
570	0.9338930065
571	0.9335470186
572	0.9331858076
573	0.9327642686
574	0.9327249239
575	0.9324576124
576	0.9318744095
577	0.9316627481
578	0.931452586
579	0.9309762887
580	0.9308307947
581	0.9305865423
582	0.9303039527
583	0.9301641759
584	0.929694989
585	0.9294278888
586	0.9291158335
587	0.928684772
588	0.9284809133
589	0.9282386306
590	0.9278260037
591	0.9275980719
592	0.9273927595
593	0.9271282958
594	0.9268995135
595	0.92668383
596	0.9264733685
597	0.9261976517
598	0.9260029703
599	0.9255872829
600	0.9251764591
601	0.9248684235
602	0.9245134886
603	0.9241243183
604	0.9238651484
605	0.9234650037
606	0.9231440525
607	0.9227894688
608	0.9224265751
609	0.9221762065
610	0.9218021786
611	0.9215650242
612	0.9214197157
613	0.9211948203
614	0.9209406221
615	0.9206905502
616	0.9204361745
617	0.920276253
618	0.9199897765
619	0.919826371
620	0.9195795014
621	0.919323172
622	0.9190304716
623	0.9189272349
624	0.9185831985
625	0.9181886572
626	0.9179153622
627	0.9177317274
628	0.9173793388
629	0.9169679874
630	0.9166341662
631	0.9163855804
632	0.9160931022
633	0.9157802427
634	0.915374482
635	0.9149945828
636	0.9147098294
637	0.9144752111
638	0.9142374571
639	0.9138042158
640	0.9136290794
641	0.9133742126
642	0.9130316178
643	0.9126964765
644	0.9123517693
645	0.9119212635
646	0.9114866939
647	0.9111311502
648	0.9109852355
649	0.9107911853
650	0.9105518445
651	0.9104139123
652	0.91014482
653	0.9099268801
654	0.9095539566
655	0.90939186
656	0.9091098428
657	0.9088062434
658	0.9084570395
659	0.9082337361
660	0.908017044
661	0.907751015
662	0.9074534562
663	0.9071396331
664	0.9069249454
665	0.9065516513
666	0.9063333236
667	0.9059640081
668	0.9056746992
669	0.905363703
670	0.9050796339
671	0.9048576799
672	0.9045225651
673	0.9040986174
674	0.9037042244
675	0.9034533787
676	0.9031195366
677	0.9027982611
678	0.9025336347
679	0.9022967305
680	0.902099002
681	0.9018040721
682	0.9016692418
683	0.9013037698
684	0.9010185755
685	0.9007554796
686	0.9005955214
687	0.9003685557
688	0.9000676805
689	0.8998408353
690	0.8996186237
691	0.8993501481
692	0.8990483225
693	0.8986735794
694	0.8984490826
695	0.8982093348
696	0.8979230565
697	0.8976967488
698	0.8974282138
699	0.8969413538
700	0.8967783553
701	0.8964001855
702	0.8960193368
703	0.8957722961
704	0.8954715272
705	0.8950842735
706	0.8948773117
707	0.8944828022
708	0.8940989125
709	0.8937693776
710	0.8934815705
711	0.8930759719
712	0.8929162699
713	0.8925517001
714	0.8923141667
715	0.8920972831
716	0.8918186013
717	0.89170683
718	0.8914023272
719	0.8911445264
720	0.8909017958
721	0.890828342
722	0.8905969832
723	0.8903093939
724	0.8900576495
725	0.8897786912
726	0.8894899078
727	0.8891934315
728	0.8887905671
729	0.8884780412
730	0.888293976
731	0.8880426546
732	0.8877945906
733	0.887476432
734	0.8873637619
735	0.8871519557
736	0.8869178311
737	0.8867088337
738	0.8865994746
739	0.8863353413
740	0.8861168735
741	0.8859223707
742	0.8856866884
743	0.8853254017
744	0.8850931559
745	0.8849077877
746	0.884478739
747	0.8840756949
748	0.8837873429
749	0.8835159789
750	0.8833391784
751	0.8831210216
752	0.8829266946
753	0.8827403666
754	0.8825031762
755	0.882160045
756	0.8818392911
757	0.8814925452
758	0.8810524784
759	0.8807680681
760	0.8805124873
761	0.8801686187
762	0.8800513535
763	0.8797473861
764	0.8794059377
765	0.8791595897
766	0.878870909
767	0.878655584
768	0.8784556073
769	0.8781856655
770	0.8779468506
771	0.8776658281
772	0.8773404125
773	0.8770630179
774	0.8768941817
775	0.8766793769
776	0.8764986749
777	0.8763152516
778	0.8761339005
779	0.8757990892
780	0.8754254327
781	0.8751634318
782	0.8749366254
783	0.8747845589
784	0.8742932576
785	0.8740500653
786	0.873891818
787	0.873757328
788	0.8736519624
789	0.8733657628
790	0.8730267878
791	0.8728353199
792	0.872596054
793	0.8722395004
794	0.8718696112
795	0.8716100778
796	0.871324082
797	0.871207824
798	0.8709054536
799	0.870666587
800	0.8703236104
801	0.8700602005
802	0.8697524127
803	0.8694230663
804	0.8690501687
805	0.8688458123
806	0.8684747023
807	0.8682293314
808	0.867920245
809	0.8677289007
810	0.8673276409
811	0.8672438206
812	0.867008176
813	0.8666600204
814	0.8664075663
815	0.8661587303
816	0.8658452873
817	0.8655461719
818	0.8652729769
819	0.8651021578
820	0.8648309092
821	0.864579968
822	0.8642491544
823	0.8639647456
824	0.8636648909
825	0.8633674166
826	0.8629088735
827	0.8626408981
828	0.8623896922
829	0.8621303431
830	0.8619201835
831	0.8615320666
832	0.8613001139
833	0.8609549114
834	0.8605726621
835	0.8602567818
836	0.8599362657
837	0.8595520307
838	0.8590190061
839	0.8587769218
840	0.858543542
841	0.8583600349
842	0.8580128544
843	0.8577899004
844	0.8575222397
845	0.8574204858
846	0.8572242033
847	0.8571843572
848	0.8571492342
849	0.8570701225
850	0.8569188974
851	0.8565756107
852	0.8563216971
853	0.8560651137
854	0.8556383226
855	0.8555565355
856	0.8554255749
857	0.8552064148
858	0.8549837452
859	0.8547828848
860	0.8544837137
861	0.8541501047
862	0.8537841849
863	0.8537027329
864	0.8535152439
865	0.8534593572
866	0.8531566896
867	0.8529232264
868	0.8525528287
869	0.8522919343
870	0.8520352192
871	0.8518640597
872	0.8514664313
873	0.8513829761
874	0.8512692882
875	0.8511082274
876	0.850740376
877	0.8503859567
878	0.8500698946
879	0.8498117366
880	0.8497774659
881	0.8493772203
882	0.8492182767
883	0.8489048892
884	0.8487340374
885	0.84843864
886	0.848313269
887	0.8481919564
888	0.8481102336
889	0.8479023826
890	0.8476116187
891	0.8474384167
892	0.8472458646
893	0.8469505758
894	0.8467245582
895	0.8463740861
896	0.846225781
897	0.8459594236
898	0.8458391131
899	0.8453463419
900	0.8451071469
901	0.8446787644
902	0.8445672977
903	0.8443475703
904	0.8440971616
905	0.8437915522
906	0.8436043858
907	0.8433001398
908	0.8430801966
909	0.842915089
910	0.8428097207
911	0.8426670675
912	0.8425047374
913	0.8420360261
914	0.8419862443
915	0.8416998588
916	0.841430082
917	0.8411477721
918	0.8409134385
919	0.8406337132
920	0.8403900701
921	0.8401132017
922	0.839951071
923	0.8397918233
924	0.839723488
925	0.8394661499
926	0.8391502526
927	0.8388790924
928	0.8387964127
929	0.8385573413
930	0.8384431261
931	0.8380064858
932	0.837670338
933	0.8373655476
934	0.8371488396
935	0.8368498308
936	0.8365840969
937	0.8362411806
938	0.8359179407
939	0.8357318553
940	0.8353663591
941	0.8350330947
942	0.8347161221
943	0.8346890953
944	0.8344197363
945	0.8341551715
946	0.8338979519
947	0.8337968746
948	0.8334729295
949	0.833213475
950	0.8330853244
951	0.8329613712
952	0.8326631675
953	0.8324270846
954	0.8321524438
955	0.8319254693
956	0.8317848912
957	0.8315477903
958	0.8314065874
959	0.8311755151
960	0.8309486563
961	0.8306928323
962	0.8305599054
963	0.8303451703
964	0.8300622014
965	0.8298033213
966	0.8296053492
967	0.8295029738
968	0.8294114484
969	0.8292925877
970	0.8290388524
971	0.8287904583
972	0.8284048008
973	0.8282651535
974	0.8280812465
975	0.8277944343
976	0.8275595579
977	0.8273393502
978	0.8271756303
979	0.8269739591
980	0.8267753711
981	0.8265175725
982	0.8263068631
983	0.8261559854
984	0.8259220615
985	0.8256190146
986	0.8253744766
987	0.825137487
988	0.8248944354
989	0.8246388547
990	0.824370843
991	0.8240419648
992	0.8237297185
993	0.8236133993
994	0.8233776234
995	0.8230644034
996	0.8227671086
997	0.8225508301
998	0.8222302615
999	0.8218735673
